model,preprocess_step,val_accuracy,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_balanced_precision,val_balanced_recall,val_balanced_specificity,val_accuracy_excelente,val_precision_excelente,val_recall_excelente,val_specificity_excelente,val_accuracy_muito_bom,val_precision_muito_bom,val_recall_muito_bom,val_specificity_muito_bom,rank
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3119404177839274_bootstrap-False_rank-002.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7509157509157509,0.7435897435897436,0.7445652173913043,0.7445652173913043,0.7380952380952381,0.7445652173913043,0.7445652173913043,0.7435897435897436,0.6666666666666666,0.75,0.7391304347826086,0.7435897435897436,0.8095238095238095,0.7391304347826086,0.75,1
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.3045494498876355_bootstrap-False_rank-040.joblib,SG_1D+MeanCentering,0.7435897435897436,0.7509157509157509,0.7435897435897436,0.7445652173913043,0.7445652173913043,0.7380952380952381,0.7445652173913043,0.7445652173913043,0.7435897435897436,0.6666666666666666,0.75,0.7391304347826086,0.7435897435897436,0.8095238095238095,0.7391304347826086,0.75,2
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3049124653922379_bootstrap-False_rank-016.joblib,SG_1D+MeanCentering,0.717948717948718,0.7309041835357625,0.717948717948718,0.7228260869565217,0.7228260869565217,0.7157894736842105,0.7228260869565217,0.7228260869565217,0.717948717948718,0.631578947368421,0.75,0.6956521739130435,0.717948717948718,0.8,0.6956521739130435,0.75,3
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.30227709410190545_bootstrap-False_rank-037.joblib,SG_1D+MeanCentering,0.717948717948718,0.7309041835357625,0.717948717948718,0.7228260869565217,0.7228260869565217,0.7157894736842105,0.7228260869565217,0.7228260869565217,0.717948717948718,0.631578947368421,0.75,0.6956521739130435,0.717948717948718,0.8,0.6956521739130435,0.75,4
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.302864876624482_bootstrap-False_rank-003.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,5
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.30390134195764323_bootstrap-False_rank-004.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,6
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-11_min_samples_leaf-2_max_features-0.30169896980646826_bootstrap-False_rank-008.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,7
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.3470496845951276_bootstrap-False_rank-010.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,8
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.32336846479541625_bootstrap-False_rank-013.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,9
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.30515931650068584_bootstrap-False_rank-024.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,10
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3055132224322084_bootstrap-False_rank-038.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,11
rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.32996305871629394_bootstrap-False_rank-048.joblib,SG_1D+MeanCentering,0.717948717948718,0.7211709858768682,0.717948717948718,0.7133152173913043,0.7133152173913043,0.7098930481283423,0.7133152173913043,0.7133152173913043,0.717948717948718,0.6470588235294118,0.6875,0.7391304347826086,0.717948717948718,0.7727272727272727,0.7391304347826086,0.6875,12
rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.3288939469762375_bootstrap-False_rank-007.joblib,SG_1D+MeanCentering,0.6923076923076923,0.7000407000407,0.6923076923076923,0.6915760869565217,0.6915760869565217,0.6865079365079365,0.6915760869565217,0.6915760869565217,0.6923076923076923,0.6111111111111112,0.6875,0.6956521739130435,0.6923076923076923,0.7619047619047619,0.6956521739130435,0.6875,13
